"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 10:18:30 GMT 2024","Sun Dec 15 10:18:32 GMT 2024","1589","Login page tests","","","","","should login successfully",""
"passed","Sun Dec 15 10:18:41 GMT 2024","Sun Dec 15 10:18:42 GMT 2024","165","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Dec 15 10:18:28 GMT 2024","Sun Dec 15 10:18:28 GMT 2024","243","Home page tests","","","","","should open add more page",""
"passed","Sun Dec 15 10:18:35 GMT 2024","Sun Dec 15 10:18:37 GMT 2024","2333","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 10:18:40 GMT 2024","Sun Dec 15 10:18:41 GMT 2024","1154","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Dec 15 10:18:27 GMT 2024","Sun Dec 15 10:18:28 GMT 2024","734","Home page tests","","","","","should display at least one user",""
"passed","Sun Dec 15 10:18:21 GMT 2024","Sun Dec 15 10:18:23 GMT 2024","2077","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Dec 15 10:18:23 GMT 2024","Sun Dec 15 10:18:25 GMT 2024","2204","Edit page tests","","","","","should successfully edit",""
"passed","Sun Dec 15 10:18:32 GMT 2024","Sun Dec 15 10:18:33 GMT 2024","883","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 10:18:28 GMT 2024","Sun Dec 15 10:18:28 GMT 2024","359","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 10:18:41 GMT 2024","Sun Dec 15 10:18:41 GMT 2024","612","Login page tests is isolation","","","","","should fail to login",""
